country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,5,3,52,3.394500405,2.516449889,1.805717657,1.269593892,1.257943043
dom,87,84,77,89,5,0.723734408,0.617638473,0.562957506,0.503254988,0.463535462
ago,33,66,34,78,28,43.97804043,0.368728303,0.289674575,0.14022933,0.031086881
abw,33,93,74,11,77,0.147892684,0.012282697,0.006882183,0.004684524,0.002826029
afg,5,93,26,29,28,0.164579174,0.076209352,0.062201183,0.046570559,0.025284683
aia,74,11,78,89,93,0.003735003,0.002178335,0.000557929,0.000518437,0.000485564
alb,84,33,28,85,67,0.273790439,0.192925747,0.185788116,0.160516014,0.110130619
and,22,77,2,3,78,0.068817405,0.018155031,0.0108012,0.009919873,0.009711179
ant,33,97,93,3,89,2.024692623,0.122851326,0.085171213,0.030720302,0.01604092
are,33,66,97,34,67,68.00401081,15.64294303,10.18757014,6.881763892,4.637923106
arg,8,78,22,4,33,8.90377957,7.124386638,5.8973489,5.5204898,4.502043555
arm,68,11,67,28,66,0.14843292,0.100663784,0.099943881,0.07550063,0.074091499
asm,58,3,8,74,72,0.007060746,0.005094525,0.004019016,0.003082066,0.001486395
ata,76,2,78,3,75,0.0067625,0.00632131,0.004607096,0.004600562,0.004060355
atf,3,58,93,28,89,0.002232124,0.000287939,0.000264223,0.000105792,0.000088704
atg,78,69,74,63,72,0.720484003,0.260655042,0.208611445,0.137640988,0.097723596
aus,28,32,97,33,68,61.02214643,34.08540399,11.03001661,10.17415444,9.735053467
aut,77,78,93,54,74,10.15872623,9.256396957,9.059254403,7.375469531,7.315581295
aze,33,93,5,34,68,18.43455863,0.581970185,0.220937672,0.169068117,0.068566516
bdi,7,97,28,26,21,0.047913047,0.012978624,0.004060954,0.001428768,0.001276014
bel,78,54,33,66,58,27.52296679,21.03344137,19.85719957,19.37881095,18.68002946
ben,97,28,26,5,33,0.288191476,0.113051544,0.109225646,0.078744504,0.041279797
bfa,26,97,22,5,59,0.238393565,0.132783381,0.039511973,0.020816453,0.020706835
bgd,84,65,3,85,26,14.91970666,1.153044642,0.526351146,0.245283812,0.237183131
bgr,68,33,84,77,28,2.411987768,1.825868025,1.564257967,1.212154225,0.858267022
bhr,33,68,28,67,89,2.598972596,1.714909257,0.555189277,0.365338569,0.334852875
bhs,33,79,93,58,3,1.529457359,0.622269792,0.117861547,0.100704482,0.085636055
bih,68,28,85,67,69,0.345146779,0.272173314,0.25183912,0.243657745,0.237962232
blr,33,56,67,72,78,2.552685046,1.756742825,0.73206635,0.426743559,0.244070922
blz,5,33,6,3,79,0.120167134,0.108040234,0.037216534,0.03410978,0.019939038
bmu,79,34,93,4,89,0.619731188,0.040194567,0.012380113,0.009627185,0.00633398
bol,34,28,8,68,33,2.218719679,0.964578688,0.401865094,0.350846691,0.195602923
