year;origin;destination;
1993;ago;arg;
1993;ago;aus;
1993;ago;aut;
1993;ago;bel;
1993;ago;bra;
1993;ago;can;
1993;ago;che;
1993;ago;chl;
1993;ago;chn;
1993;ago;cze;
1993;ago;deu;
1993;ago;dnk;
1993;ago;esp;
1993;ago;fin;
1993;ago;fra;
1993;ago;gab;
1993;ago;gbr;
1993;ago;glp;
1993;ago;grc;
1993;ago;hkg;
1993;ago;hun;
1993;ago;idn;
1993;ago;ind;
1993;ago;irl;
1993;ago;ita;
1993;ago;jam;
1993;ago;jpn;
1993;ago;kor;
1993;ago;mex;
1993;ago;mlt;
1993;ago;mtq;
1993;ago;mys;
1993;ago;nld;
1993;ago;nor;
1993;ago;nzl;
1993;ago;phl;
1993;ago;prt;
1993;ago;sau;
1993;ago;svn;
1993;ago;swe;
1993;ago;tha;
1993;ago;tur;
1993;ago;usa;
1993;ago;ven;
1993;ago;zaf;
1993;alb;arg;
1993;alb;aus;
1993;alb;aut;
1993;alb;bel;
1993;alb;bol;
1993;alb;can;
1993;alb;che;
1993;alb;chl;
1993;alb;chn;
1993;alb;col;
1993;alb;cri;
1993;alb;cze;
1993;alb;deu;
1993;alb;dnk;
1993;alb;dza;
1993;alb;ecu;
1993;alb;egy;
1993;alb;esp;
1993;alb;fin;
1993;alb;fra;
1993;alb;gbr;
1993;alb;grc;
1993;alb;guf;
1993;alb;hkg;
1993;alb;hrv;
1993;alb;hun;
1993;alb;idn;
1993;alb;ind;
1993;alb;irl;
1993;alb;isr;
1993;alb;ita;
1993;alb;jpn;
1993;alb;kwt;
1993;alb;mar;
1993;alb;mex;
1993;alb;mlt;
1993;alb;mys;
1993;alb;nld;
1993;alb;nor;
1993;alb;nzl;
1993;alb;pak;
1993;alb;per;
1993;alb;phl;
1993;alb;pol;
1993;alb;prt;
1993;alb;qat;
1993;alb;rou;
1993;alb;sau;
1993;alb;slv;
1993;alb;svn;
1993;alb;swe;
1993;alb;tha;
1993;alb;tun;
1993;alb;tur;
1993;alb;ury;
1993;alb;usa;
1993;alb;ven;
1993;alb;zaf;
1993;are;afg;
1993;are;arg;
1993;are;aus;
1993;are;aut;
1993;are;aze;
1993;are;bdi;
1993;are;bel;
1993;are;bgd;
1993;are;bgr;
1993;are;bhr;
1993;are;bhs;
1993;are;bih;
1993;are;blr;
1993;are;bmu;
1993;are;bol;
1993;are;bra;
1993;are;brb;
1993;are;brn;
1993;are;can;
1993;are;che;
1993;are;chl;
1993;are;chn;
1993;are;civ;
1993;are;cmr;
1993;are;col;
1993;are;cri;
1993;are;cub;
1993;are;cyp;
1993;are;cze;
1993;are;deu;
1993;are;dji;
1993;are;dnk;
1993;are;dom;
1993;are;dza;
1993;are;ecu;
1993;are;egy;
1993;are;esp;
1993;are;est;
1993;are;eth;
1993;are;fin;
1993;are;fra;
1993;are;gbr;
1993;are;gha;
1993;are;gib;
1993;are;glp;
1993;are;grc;
1993;are;gtm;
1993;are;hkg;
1993;are;hnd;
1993;are;hrv;
1993;are;hun;
1993;are;idn;
1993;are;ind;
1993;are;irl;
1993;are;irn;
1993;are;ita;
1993;are;jam;
1993;are;jor;
1993;are;jpn;
1993;are;ken;
1993;are;kor;
1993;are;kwt;
1993;are;lbn;
1993;are;lbr;
1993;are;lby;
1993;are;lka;
1993;are;ltu;
1993;are;lva;
1993;are;mac;
1993;are;mar;
1993;are;mdg;
1993;are;mex;
1993;are;mkd;
1993;are;mlt;
1993;are;mmr;
1993;are;mtq;
