Year;Rank;ID;Country;ECI;;
1993;105;ago;Angola;-1,58;;
1994;118;ago;Angola;-1,58;;
1995;123;ago;Angola;-1,72;;
1996;111;ago;Angola;-1,15;;
1997;111;ago;Angola;-1,16;;
1998;113;ago;Angola;-1,19;;
1999;120;ago;Angola;-1,49;;
2000;123;ago;Angola;-1,56;;
2001;124;ago;Angola;-2,04;;
2002;125;ago;Angola;-1,99;;
2003;125;ago;Angola;-1,67;;
2004;107;ago;Angola;-0,95;;
2005;126;ago;Angola;-1,93;;
2006;126;ago;Angola;-1,79;;
2007;123;ago;Angola;-1,69;;
2008;126;ago;Angola;-1,81;;
2009;121;ago;Angola;-1,77;;
2010;124;ago;Angola;-1,87;;
2011;122;ago;Angola;-1,89;;
2012;123;ago;Angola;-2,25;;
2013;117;ago;Angola;-1,47;;
1993;055;alb;Albania;-0,24;;
1994;074;alb;Albania;-0,37;;
1995;084;alb;Albania;-0,60;;
1996;075;alb;Albania;-0,35;;
1997;075;alb;Albania;-0,37;;
1998;075;alb;Albania;-0,40;;
1999;078;alb;Albania;-0,38;;
2000;069;alb;Albania;-0,22;;
2001;069;alb;Albania;-0,26;;
2002;065;alb;Albania;-0,25;;
2003;060;alb;Albania;-0,11;;
2004;074;alb;Albania;-0,32;;
2005;076;alb;Albania;-0,32;;
2006;086;alb;Albania;-0,50;;
2007;071;alb;Albania;-0,29;;
2008;058;alb;Albania;0,06;;
2009;041;alb;Albania;0,56;;
2010;087;alb;Albania;-0,50;;
2011;080;alb;Albania;-0,54;;
2012;077;alb;Albania;-0,35;;
2013;075;alb;Albania;-0,34;;
1993;051;are;United Arab Emirates;-0,11;;
1994;075;are;United Arab Emirates;-0,41;;
1995;066;are;United Arab Emirates;-0,16;;
1996;064;are;United Arab Emirates;0,01;;
1997;066;are;United Arab Emirates;-0,09;;
1998;064;are;United Arab Emirates;-0,04;;
1999;071;are;United Arab Emirates;-0,27;;
2000;073;are;United Arab Emirates;-0,26;;
2001;070;are;United Arab Emirates;-0,27;;
2002;066;are;United Arab Emirates;-0,26;;
2003;068;are;United Arab Emirates;-0,19;;
2004;078;are;United Arab Emirates;-0,40;;
