country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,5,3,52,27,1.5416,0.6103,0.5650,0.3524,0.2999
dom,84,61,77,89,87,1.3503,0.1934,0.1701,0.1392,0.1270
ago,33,66,3,34,93,2.8401,0.1283,0.0137,0.0136,0.0040
abw,33,93,27,87,76,0.4712,0.0140,0.0030,0.0021,0.0005.
afg,65,5,26,29,21,0.0205,0.0126,0.0098,0.0046,0.0026
aia,72,68,79,84,4,0.0048,0.0008,0.0004,0.0004,0.0003
alb,61,67,84,29,5,0.0241,0.0168,0.0154,0.0077,0.0050
and,84,89,11,97,78,0.0076,0.0040,0.0031,0.0017,0.0014
ant,33,4,66,93,27,0.7027,0.0527,0.0345,0.0243,0.0226
are,33,34,84,78,68,12.2824,1.0657,0.4126,0.3416,0.2707
arg,4,8,33,42,1,1.9933,1.4284,1.1835,0.9158,0.7485
arm,67,66,28,65,68,0.0141,0.0122,0.0019,0.0009,0.0005
atf,93,78,84,25,83,0.0000,0.0000,0.0000,0.0000,0.0000
atg,6,33,93,77,83,0.0100,0.0058,0.0017,0.0013,0.0012
aus,32,28,1,68,26,5.4275,5.1912,2.4678,2.2549,2.0741
aut,77,74,89,64,72,2.5282,2.3576,2.2824,2.2527,2.2326
aze,26,33,68,28,67,0.0431,0.0152,0.0120,0.0058,0.0053
bdi,7,97,5,8,28,0.0571,0.0419,0.0014,0.0012,0.0012
bel,78,66,67,58,65,14.6448,9.2430,5.8301,4.9269,4.6394
ben,26,33,22,5,52,0.0612,0.0168,0.0106,0.0055,0.0045
bfa,26,97,5,61,22,0.0600,0.0182,0.0078,0.0036,0.0030
bgd,84,3,65,61,79,1.5075,0.2146,0.1965,0.1095,0.0562
bgr,84,67,68,33,56,0.2376,0.2279,0.1608,0.1033,0.0780
bhr,33,68,89,51,84,0.6729,0.4665,0.0596,0.0527,0.0511
bhs,79,51,33,11,3,0.2684,0.2133,0.0997,0.0504,0.0477
bih,84,4,82,5,28,0.0089,0.0074,0.0071,0.0063,0.0047
blr,56,33,68,26,84,0.1010,0.0468,0.0394,0.0373,0.0294
blz,6,5,84,3,67,0.0418,0.0397,0.0187,0.0187,0.0183
bmu,66,4,33,26,51,0.1746,0.0622,0.0404,0.0236,0.0149
bol,28,68,34,89,24,0.0929,0.0813,0.0713,0.0543,0.0492
bra,67,28,78,8,85,3.5226,3.1597,2.2252,1.9051,1.7602
brb,6,69,77,89,11,0.0274,0.0146,0.0143,0.0081,0.0079
brn,33,34,89,88,84,1.0798,0.8723,0.3118,0.0728,0.0352
btn,51,71,78,52,63,0.0048,0.0019,0.0018,0.0010,0.0007
caf,66,24,7,12,26,0.0771,0.0088,0.0040,0.0027,0.0021
can,78,24,64,33,93,31.4599,7.5041,7.2643,6.9823,5.3504
cck,24,89,67,87,66,0.0005,0.0002,0.0002,0.0001,0.0001
che,54,88,72,89,97,5.6531,4.8891,4.7147,4.6136,4.0473
chl,68,5,28,3,24,2.3505,1.3845,1.2084,0.6795,0.5566
chn,84,89,85,65,76,29.5814,20.0675,10.9550,10.6328,9.6383
civ,7,24,5,3,26,1.0558,0.2517,0.2301,0.1212,0.1120
cmr,33,24,7,5,68,0.6560,0.2842,0.1876,0.1019,0.0612
cod,66,68,33,7,24,0.4224,0.2046,0.1284,0.0691,0.0423
cog,33,66,24,63,6,0.7276,0.2978,0.0860,0.0204,0.0113
cok,5,68,66,3,96,0.0016,0.0009,0.0008,0.0008,0.0008
col,33,7,32,5,84,1.3789,1.3049,0.6166,0.5826,0.4397
com,7,55,24,77,66,0.0169,0.0046,0.0004,0.0001,0.0001
cpv,3,5,61,72,89,0.0021,0.0004,0.0001,0.0001,0.0001
cri,5,84,7,29,77,0.8756,0.6242,0.2219,0.1152,0.1005
cub,6,28,3,12,5,0.2365,0.1006,0.0761,0.0660,0.0273
cxr,27,68,11,87,3,0.0005,0.0002,0.0001,0.0001,0.0001
cym,66,3,75,79,74,0.0319,0.0223,0.0193,0.0042,0.0027
cyp,5,79,84,71,66,0.1501,0.1301,0.1181,0.0349,0.0230
cze,67,78,66,65,84,1.3554,1.0696,0.6853,0.6163,0.5438
deu,78,77,74,72,89,49.9070,23.6697,22.7777,21.7850,12.9409
dji,7,29,76,21,87,0.0011,0.0008,0.0008,0.0007,0.0004
dma,5,67,55,6,93,0.0337,0.0284,0.0113,0.0036,0.0028
dnk,1,74,89,3,54,2.8415,2.0260,1.5207,1.4924,1.2563
dza,33,34,93,67,35,6.1136,2.3391,1.1155,0.0484,0.0432
ecu,33,5,3,7,78,1.0913,0.8575,0.6889,0.1831,0.0486
egy,33,65,84,5,79,2.4705,0.3322,0.2914,0.1959,0.1051
eri,21,7,61,0,11,0.0006,0.0004,0.0002,0.0001,0.0000
esh,12,67,3,69,78,0.0023,0.0018,0.0005,0.0000,0.0000
esp,78,5,67,77,74,9.5769,4.6648,2.6588,2.1402,2.0334
est,28,33,84,24,65,0.0431,0.0409,0.0373,0.0271,0.0228
eth,7,61,21,79,71,0.1173,0.0205,0.0191,0.0146,0.0097
fin,64,67,24,72,76,5.9607,1.3701,1.1949,1.1611,1.1086
fji,6,84,97,3,24,0.1594,0.0963,0.0470,0.0287,0.0182
flk,3,26,71,33,74,0.0031,0.0020,0.0015,0.0011,0.0008
fra,78,79,77,74,89,21.1212,14.4062,10.6856,7.2958,7.0212
fro,3,8,93,41,79,0.2994,0.0091,0.0043,0.0032,0.0017
fsm,3,84,93,89,5,0.0580,0.0106,0.0008,0.0002,0.0001
gab,33,24,28,52,63,1.6693,0.3160,0.1141,0.0228,0.0115
gbr,33,78,75,77,89,10.8473,10.7188,9.8731,8.4789,7.3109
geo,33,67,28,68,29,0.0521,0.0137,0.0056,0.0035,0.0030
gha,7,66,68,24,28,0.2890,0.1801,0.1416,0.1379,0.0405
gib,33,78,88,89,79,0.0106,0.0101,0.0066,0.0059,0.0041
gin,28,66,33,3,7,0.3669,0.1736,0.0155,0.0128,0.0094
glp,5,6,11,4,93,0.0510,0.0335,0.0104,0.0097,0.0025
gmb,66,3,7,5,71,0.0586,0.0426,0.0063,0.0042,0.0027
